participant,trial,video,model left,score,F1-Base,F1-Shadow,timing,see_count,see,expertise,normalized_score_mc,normalized_score
P7,7,video-4-segment-3,GPV-1,0.9,0.7954545454545454,,186.0,5,"Tactile Paving,Fence,Curb,Train Tracks,Fire hydrant",Non-Expert,0.0583333333333332,0.5457627118644067
P7,8,video-14-segment-4,Random,0.7,0.4507042253521127,,127.0,6,"White Cane,Gate,Lamp Post,Wall,Unpaved Sidewalk,Barrier Post",Non-Expert,-0.1416666666666668,0.3830508474576269
P7,9,video-11-segment-1,Random,0.6,0.4329896907216495,,235.0,7,"Trash bins,Pole,White Cane,Puddle,Train Tracks,Tree,Wet surface",Non-Expert,-0.2416666666666668,0.3016949152542371
P7,10,video-16-segment-3,BLIP,1.0,0.8652482269503546,,186.0,9,"Closed Sidewalk,Street Vendor,Sign Post,Wall,Bridge,Tactile Paving,Barrier Post,Car,White Cane",Non-Expert,0.1583333333333332,0.6271186440677965
P7,11,video-1-segment-4,GPV-1,0.8,0.6194690265486724,,77.0,6,"Pedestrian Crossing,Vegetation,Slopped Curb,Roadside Parking,Uneven Stairs,White Cane",Non-Expert,-0.0416666666666667,0.4644067796610169
P7,12,video-4-segment-3,Ground Truth,1.0,1.0,,52.0,8,"Vegetation,Slopped Curb,Pole,Sidewalk,Snow,Street Vendor,Person with a disability,White Cane",Non-Expert,0.1583333333333332,0.6271186440677965
P7,13,video-4-segment-4,GPT4V,0.8,0.7592592592592593,,100.0,10,"Slopped Curb,Sign,Bus,Curb,Wheelchair,Fountain,Person with a disability,White Cane,Closed Sidewalk,Sidewalk",Non-Expert,-0.0416666666666667,0.4644067796610169
P7,14,video-4-segment-4,BLIP@Shadow,0.8,0.6037735849056604,,61.0,8,"Sign Post,Pole,Person with a disability,White Cane,Uneven Stairs,Wheelchair,Vegetation,Sidewalk",Non-Expert,-0.0416666666666667,0.4644067796610169
P7,15,video-4-segment-1,BLIP,0.8,0.8403361344537814,,36.0,6,"Trash on roads,Trash bins,Person,Car,Tactile Paving,White Cane",Non-Expert,-0.0416666666666667,0.4644067796610169
P7,16,video-13-segment-2,GPT4V,0.9,0.8235294117647058,,67.0,10,"Road Divider,Pedestrian Crossing,Building,Sign,Flush Door,Train Platform,White Cane,Sidewalk,Car,Traffic Signals",Non-Expert,0.0583333333333332,0.5457627118644067
P7,17,video-14-segment-1,Random,0.7,0.437956204379562,,203.0,10,"Car,Bench,Stairs,Road,Water leakage,Escalator,Fence,Road Shoulder,White Cane,Traffic Signals",Non-Expert,-0.1416666666666668,0.3830508474576269
P7,18,video-3-segment-3,GPT4V@Shadow,0.7,0.7226890756302522,,58.0,10,"Person with a disability,Stairs,Vegetation,Gate,Tactile Paving,Water leakage,White Cane,Car,Traffic Signals,Sidewalk",Non-Expert,-0.1416666666666668,0.3830508474576269
P7,19,video-16-segment-3,BLIP@Shadow,0.8,0.8350515463917526,,92.0,12,"Vegetation,Slopped Curb,Pole,Person with a disability,Railing,Accent Paving,White Cane,Sidewalk,Barrier Stump,Closed Sidewalk,Person,Car",Non-Expert,-0.0416666666666667,0.4644067796610169
P7,20,video-3-segment-3,GPV-1@Shadow,0.9,0.6138613861386139,,55.0,11,"White Cane,Curb,Slopped Curb,Gate,Water Pipes,Road Shoulder,Car,Closed Sidewalk,Sidewalk,Escalator,Traffic Signals",Non-Expert,0.0583333333333332,0.5457627118644067
P7,21,video-15-segment-3,GPT4V,1.0,0.7368421052631577,,73.0,11,"Car,Wall,Trash bins,Fence,Bench,Parallel Parking Spot,Sidewalk,White Cane,Person with a disability,Closed Sidewalk,Person",Non-Expert,0.1583333333333332,0.6271186440677965
P7,22,video-2-segment-1,GPV-1@Shadow,0.6,0.5735294117647058,,112.0,11,"Slopped Curb,Bicycle,Motorcycle,Sign,Wet surface,Fence,Person with a disability,Person,Traffic Signals,Car,White Cane",Non-Expert,-0.2416666666666668,0.3016949152542371
P7,23,video-1-segment-5,BLIP@Shadow,1.0,0.8512820512820513,,60.0,9,"Retaining Wall,Road,Stairs,Person,Water Pipes,Road Divider,Sidewalk,Car,White Cane",Non-Expert,0.1583333333333332,0.6271186440677965
P7,24,video-15-segment-3,GPT4V@Shadow,1.0,0.7846153846153846,,34.0,10,"Bicycle,Vegetation,Road Shoulder,Driveway(flat),Bridge,Retaining Wall,Car,Person,Person with a disability,White Cane",Non-Expert,0.1583333333333332,0.6271186440677965
P8,1,video-6-segment-2,Random,0.2,0.4057971014492754,,250.0,5,"Curb,White Cane,Building,Trash bins,Pedestrian Crossing",Non-Expert,-0.1791666666666666,0.3525423728813559
P8,2,video-4-segment-3,GPV-1@Shadow,0.4,0.9044585987261146,0.9028571428571428,190.0,6,"Person with a disability,Curb,Vegetation,Pole,Sidewalk,Car",Non-Expert,0.0208333333333333,0.5152542372881357
P8,3,video-15-segment-3,BLIP@Shadow,0.4,0.7901234567901234,0.7931034482758621,171.0,5,"Fence,Sign,Car,White Cane,Road",Non-Expert,0.0208333333333333,0.5152542372881357
P8,4,video-1-segment-4,GPV-1,0.2,0.7173913043478262,,172.0,6,"Vegetation,Pole,Bicycle,Bus Stop,Bench,White Cane",Non-Expert,-0.1791666666666666,0.3525423728813559
P8,5,video-15-segment-3,Random,0.1,0.5631067961165048,,79.0,5,"Person with a disability,Tree,Person,Car,Road",Non-Expert,-0.2791666666666667,0.2711864406779661
P8,6,video-3-segment-2,GPT4V@Shadow,0.4,0.782608695652174,0.780952380952381,127.0,6,"Curb,White Cane,Bicycle,Car,Fence,Bus Stop",Non-Expert,0.0208333333333333,0.5152542372881357
P8,7,video-1-segment-5,GPT4V,0.9,0.9565217391304348,,77.0,6,"Sidewalk,Bicycle,Traffic Signals,Motorcycle,White Cane,Car",Non-Expert,0.5208333333333334,0.9220338983050848
P8,8,video-2-segment-1,Random,0.1,0.2592592592592592,,103.0,5,"Pillar,Bridge,Fountain,White Cane,Car",Non-Expert,-0.2791666666666667,0.2711864406779661
P8,9,video-11-segment-1,GPT4V,0.6,0.838095238095238,,113.0,6,"Trash bins,Bus,White Cane,Car,Sign Post,Bicycle",Non-Expert,0.2208333333333333,0.6779661016949152
P8,10,video-3-segment-3,BLIP,0.4,0.796116504854369,,94.0,5,"Fence,Person with a disability,Car,Tree,Road",Non-Expert,0.0208333333333333,0.5152542372881357
P8,11,video-16-segment-3,Ground Truth,0.9,1.0,,158.0,6,"Parallel Parking Spot,Pole,Closed Sidewalk,Person with a disability,Trash bins,White Cane",Non-Expert,0.5208333333333334,0.9220338983050848
P8,12,video-4-segment-4,GPV-1,0.2,0.3265306122448979,,86.0,5,"Stairs,Puddle,White Cane,Car,Vegetation",Non-Expert,-0.1791666666666666,0.3525423728813559
P8,13,video-14-segment-1,GPT4V,0.3,0.8842105263157894,,99.0,5,"Person with a disability,Railing,Bus,Car,Stairs",Non-Expert,-0.0791666666666666,0.4338983050847457
P8,14,video-14-segment-4,GPV-1@Shadow,0.5,0.7164179104477612,0.72,188.0,5,"Pole,Person with a disability,Railing,Sidewalk,Car",Non-Expert,0.1208333333333333,0.5966101694915255
P8,15,video-3-segment-3,GPV-1@Shadow,0.6,0.8983050847457628,0.900763358778626,148.0,6,"Wall,Person with a disability,Car,Road,Tree,Fence",Non-Expert,0.2208333333333333,0.6779661016949152
P8,16,video-4-segment-1,BLIP@Shadow,0.7,0.8799999999999999,0.8828828828828829,265.0,6,"Vegetation,Bus,Tree,White Cane,Car,Sidewalk",Non-Expert,0.3208333333333333,0.7593220338983051
P8,17,video-11-segment-1,Ground Truth,0.6,1.0,,216.0,8,"Pedestrian Crossing,Bus,Lamp Post,Person with a disability,Trash bins,Bicycle,Tree,Car",Non-Expert,0.2208333333333333,0.6779661016949152
P8,18,video-16-segment-3,GPT4V@Shadow,0.1,0.7173913043478262,0.7175572519083969,79.0,7,"Pole,Sign,Barrier Post,Closed Sidewalk,Sloped Driveway,Fence,Lamp Post",Non-Expert,-0.2791666666666667,0.2711864406779661
P8,19,video-6-segment-2,BLIP,0.0,0.6956521739130435,,60.0,5,"Wall,Railing,White Cane,Person with a disability,Car",Non-Expert,-0.3791666666666666,0.1898305084745762
P8,20,video-2-segment-1,GPV-1,0.3,0.6857142857142856,,95.0,6,"Sign,Car,Person with a disability,Person,White Cane,Street Vendor",Non-Expert,-0.0791666666666666,0.4338983050847457
P8,21,video-3-segment-2,Ground Truth,0.9,1.0,,230.0,7,"Person with a disability,Car,Railing,Fence,Tree,White Cane,Person",Non-Expert,0.5208333333333334,0.9220338983050848
P8,22,video-14-segment-4,BLIP,0.0,0.8433734939759036,,94.0,5,"Person with a disability,Person,White Cane,Car,Fence",Non-Expert,-0.3791666666666666,0.1898305084745762
P8,23,video-4-segment-3,BLIP@Shadow,0.0,0.7692307692307692,0.7669172932330827,106.0,6,"Person,Motorcycle,White Cane,Person with a disability,Car,Snow",Non-Expert,-0.3791666666666666,0.1898305084745762
P8,24,video-1-segment-4,GPT4V@Shadow,0.3,0.8076923076923077,0.8053691275167786,113.0,6,"Person,Pole,Person with a disability,White Cane,Snow,Car",Non-Expert,-0.0791666666666666,0.4338983050847457
P9,1,video-14-segment-4,BLIP,0.6,0.5882352941176471,,301.0,6,"Vegetation,Elevator,Wall,Curb,Trash bins,Puddle",Non-Expert,0.0333333333333332,0.5254237288135593
P9,2,video-4-segment-3,BLIP,0.8,0.6086956521739131,,241.0,6,"Person with a disability,Curb,Tactile Paving,Vegetation,Mail box,Sloped Driveway",Non-Expert,0.2333333333333332,0.688135593220339
P9,3,video-1-segment-4,GPT4V@Shadow,0.8,0.696969696969697,0.6981132075471698,352.0,6,"Pedestrian Crossing,Person with a disability,Lamp Post,Gate,Counter,Driveway(flat)",Non-Expert,0.2333333333333332,0.688135593220339
P9,4,video-2-segment-1,GPV-1@Shadow,0.1,0.2142857142857143,0.2135922330097087,70.0,6,"Maintenance Vehicle,Barrier Stump,Traffic Signals,Crosswalk,Wet surface,Table",Non-Expert,-0.4666666666666668,0.11864406779661
P9,5,video-14-segment-1,Ground Truth,0.9,1.0,,180.0,6,"Sidewalk,Retaining Wall,Bench,Car,Stairs,Railing",Non-Expert,0.3333333333333332,0.7694915254237288
P9,6,video-15-segment-3,GPV-1,0.7,0.8346456692913387,,313.0,6,"Sloped Driveway,Tree,Wall,Road,Fire hydrant,Car",Non-Expert,0.1333333333333332,0.606779661016949
P9,7,video-11-segment-1,Ground Truth,1.0,1.0,,105.0,6,"Push button,Gutter,Building,Snow,Road Divider,Car",Non-Expert,0.4333333333333332,0.8508474576271187
P9,8,video-7-segment-2,GPV-1@Shadow,0.6,0.6301369863013698,0.6292134831460674,327.0,5,"Car,Roadside Parking,Sign,Person with a disability,Barrier Stump",Non-Expert,0.0333333333333332,0.5254237288135593
P9,9,video-14-segment-4,GPT4V@Shadow,0.1,0.4864864864864865,0.4842105263157894,94.0,6,"Lamp Post,Elevator,White Cane,Road,Wheelchair,Flush Door",Non-Expert,-0.4666666666666668,0.11864406779661
P9,10,video-1-segment-5,Random,0.5,0.4827586206896552,,229.0,6,"Stairs,White Cane,Roadside Parking,Railing,Lamp Post,Motorcycle",Non-Expert,-0.0666666666666667,0.4440677966101694
P9,11,video-14-segment-1,GPT4V,0.5,0.7560975609756098,,86.0,6,"Building,Accent Paving,Railing,Person,Closed Sidewalk,Gate",Non-Expert,-0.0666666666666667,0.4440677966101694
P9,12,video-16-segment-3,GPT4V,0.3,0.7659574468085107,,244.0,6,"Traffic Signals,Person,Vegetation,Road,Bench,Closed Sidewalk",Non-Expert,-0.2666666666666668,0.2813559322033897
P9,13,video-4-segment-1,GPT4V,0.7,0.7560975609756098,,84.0,6,"Bench,Person with a disability,Building,Person,Dog,Uneven Stairs",Non-Expert,0.1333333333333332,0.606779661016949
P9,14,video-16-segment-3,Random,0.7,0.619718309859155,,187.0,6,"Closed Sidewalk,Roadside Parking,Barrier Post,White Cane,Unpaved Road,Railing",Non-Expert,0.1333333333333332,0.606779661016949
P9,15,video-4-segment-3,GPV-1,0.8,0.6990291262135923,,108.0,6,"Slopped Curb,Sidewalk,Yard Waste,White Cane,Maintenance Vehicle,Escalator",Non-Expert,0.2333333333333332,0.688135593220339
P9,16,video-6-segment-2,GPT4V@Shadow,0.0,0.5714285714285714,0.5737704918032787,46.0,6,"Accent Paving,Curb,Stairs,Pillar,Bicycle,Train Tracks",Non-Expert,-0.5666666666666668,0.0372881355932202
P9,17,video-12-segment-4,BLIP@Shadow,0.9,0.758169934640523,0.758169934640523,126.0,6,"Person with a disability,Curb,Person,Pole,Accent Paving,Unpaved Sidewalk",Non-Expert,0.3333333333333332,0.7694915254237288
P9,18,video-4-segment-1,Random,0.5,0.48,,132.0,6,"Person,Railing,White Cane,Bus Stop,Foldout Sign,Barrier Post",Non-Expert,-0.0666666666666667,0.4440677966101694
P9,19,video-6-segment-2,GPV-1@Shadow,0.3,0.6129032258064516,0.6106870229007634,95.0,6,"Wall,Sidewalk,Person with a disability,Pillar,Pole,Escalator",Non-Expert,-0.2666666666666668,0.2813559322033897
P9,20,video-3-segment-2,BLIP@Shadow,0.4,0.6666666666666667,0.6666666666666666,66.0,6,"Road,White Cane,Sidewalk,Pole,Maintenance Vehicle,Water Pipes",Non-Expert,-0.1666666666666667,0.3627118644067796
P9,21,video-4-segment-4,BLIP,0.6,0.7272727272727273,,67.0,6,"Railing,White Cane,Person,Curb,Driveway(flat),Trash bins",Non-Expert,0.0333333333333332,0.5254237288135593
P9,22,video-7-segment-2,Ground Truth,0.9,1.0,,51.0,6,"Sidewalk,Road,Wall,Slopped Curb,Hose,Bridge",Non-Expert,0.3333333333333332,0.7694915254237288
P9,23,video-2-segment-1,GPV-1,0.2,0.2028985507246376,,47.0,6,"Traffic Signals,Crosswalk,Sign Post,Pillar,Push button,Table",Non-Expert,-0.3666666666666667,0.1999999999999999
P9,24,video-11-segment-1,BLIP@Shadow,0.7,0.8120300751879699,0.8108108108108109,65.0,6,"Accent Paving,Car,Road,Curb,Hose,Unpaved Road",Non-Expert,0.1333333333333332,0.606779661016949
P10,1,video-13-segment-2,GPV-1@Shadow,0.1,0.6881720430107527,0.6887417218543047,212.0,7,"White Cane,Curb,Pole,Car,Bridge,Trash bins,Bicycle",Non-Expert,-0.3375,0.2237288135593219
P10,2,video-6-segment-2,Random,0.3,0.380952380952381,,152.0,6,"Pillar,Building,Person with a disability,Railing,Wet surface,Paratransit vehicle",Non-Expert,-0.1375,0.3864406779661016
P10,3,video-12-segment-4,BLIP@Shadow,0.9,0.984126984126984,0.9846153846153848,165.0,6,"Crosswalk,Tree,Person,White Cane,Paratransit vehicle,Barrier Stump",Non-Expert,0.4625,0.8745762711864408
P10,4,video-1-segment-5,Ground Truth,1.0,1.0,,175.0,6,"Car,Roadside Parking,Gutter,Curb,Road Shoulder,Turnstile",Non-Expert,0.5625,0.9559322033898304
P10,5,video-4-segment-4,GPT4V@Shadow,0.4,0.7272727272727273,0.7272727272727273,269.0,7,"Sidewalk,Bus Stop,Pole,Stairs,Gutter,Raised Entryway,Tree",Non-Expert,-0.0374999999999999,0.4677966101694915
P10,6,video-7-segment-2,Random,0.1,0.6099290780141844,,134.0,8,"Vegetation,Tactile Paving,Curb,Sidewalk,Yard Waste,Puddle,Building,Person",Non-Expert,-0.3375,0.2237288135593219
P10,7,video-4-segment-3,GPT4V,0.7,0.7154471544715447,,303.0,8,"Person with a disability,Tactile Paving,Vegetation,Fence,Escalator,Elevator,Person,White Cane",Non-Expert,0.2624999999999999,0.711864406779661
P10,8,video-11-segment-1,BLIP@Shadow,0.3,0.6,0.6,189.0,7,"Push button,Crosswalk,Curb,Person,Slopped Curb,Counter,Bus",Non-Expert,-0.1375,0.3864406779661016
P10,9,video-13-segment-2,Ground Truth,0.9,1.0,,109.0,8,"Building,Traffic Signals,Pedestrian Crossing,Car,Fountain,Gutter,Pole,White Cane",Non-Expert,0.4625,0.8745762711864408
P10,10,video-4-segment-1,GPT4V@Shadow,0.5,0.8392857142857143,0.8400000000000001,248.0,9,"Bench,Person,Railing,Vegetation,Closed Sidewalk,Foldout Sign,Fence,White Cane,Bus",Non-Expert,0.0625,0.5491525423728814
P10,11,video-4-segment-3,GPV-1,0.2,0.6766917293233082,,98.0,7,"Pole,Fence,Person with a disability,Yard Waste,Barrier Post,Puddle,White Cane",Non-Expert,-0.2375,0.3050847457627118
P10,12,video-14-segment-1,Ground Truth,1.0,1.0,,109.0,8,"Sidewalk,Retaining Wall,Bench,Car,Barrier Stump,Push button,Person with a disability,White Cane",Non-Expert,0.5625,0.9559322033898304
P10,13,video-16-segment-3,GPV-1,0.6,0.8714285714285713,,283.0,9,"Bicycle,Gate,Sign,Roadside Parking,Bus,Wet surface,Closed Sidewalk,Car,White Cane",Non-Expert,0.1624999999999999,0.6305084745762712
P10,14,video-16-segment-3,GPT4V,0.4,0.7102803738317757,,158.0,8,"Traffic Signals,Person,Vegetation,Road,Bench,Barrier Stump,Closed Sidewalk,Roadside Parking",Non-Expert,-0.0374999999999999,0.4677966101694915
P10,15,video-3-segment-3,GPV-1,0.1,0.3736263736263736,,94.0,7,"Barrier Post,Person with a disability,Vegetation,Building,Foldout Sign,Counter,Tree",Non-Expert,-0.3375,0.2237288135593219
P10,16,video-3-segment-2,BLIP,0.2,0.613861386138614,,198.0,8,"Wet surface,Fence,Puddle,Car,Unpaved Sidewalk,Gutter,Person with a disability,White Cane",Non-Expert,-0.2375,0.3050847457627118
P10,17,video-2-segment-1,GPV-1@Shadow,0.2,0.5416666666666667,0.5436893203883496,101.0,7,"Accent Paving,Pedestrian Crossing,Crosswalk,Chair,Snow,Trash on roads,Tree",Non-Expert,-0.2375,0.3050847457627118
P10,18,video-14-segment-1,GPT4V@Shadow,0.2,0.8,0.8,98.0,8,"Building,Accent Paving,Railing,Person,Closed Sidewalk,Gate,White Cane,Vegetation",Non-Expert,-0.2375,0.3050847457627118
P10,19,video-1-segment-4,GPV-1@Shadow,0.3,0.6086956521739131,0.608695652173913,138.0,8,"Pole,Bicycle,Person,Tactile Paving,Maintenance Vehicle,Foldout Sign,White Cane,Building",Non-Expert,-0.1375,0.3864406779661016
P10,20,video-15-segment-3,GPT4V,0.8,0.4923076923076923,,206.0,7,"Curb,White Cane,Road Shoulder,Accent Paving,Wheelchair,Uneven Stairs,Car",Non-Expert,0.3625,0.7932203389830509
P10,21,video-4-segment-1,Random,0.1,0.6181818181818182,,91.0,7,"Slopped Curb,Curb,Bench,Sidewalk,Fountain,Flush Door,Person with a disability",Non-Expert,-0.3375,0.2237288135593219
P10,22,video-1-segment-4,BLIP,0.5,0.6391752577319588,,140.0,7,"Road,Sign,Roadside Parking,Slopped Curb,Snow,Elevator,White Cane",Non-Expert,0.0625,0.5491525423728814
P10,23,video-12-segment-4,BLIP,0.6,0.7586206896551725,,309.0,8,"Pole,Crosswalk,Pedestrian Crossing,Wall,Road Divider,Lamp Post,Person with a disability,Car",Non-Expert,0.1624999999999999,0.6305084745762712
P10,24,video-15-segment-3,BLIP@Shadow,0.1,0.5432098765432098,0.5413533834586466,71.0,8,"Sign,Accent Paving,Curb,Fence,Hose,Uneven Stairs,Car,Person with a disability",Non-Expert,-0.3375,0.2237288135593219
P11,1,video-3-segment-2,BLIP,0.9,0.845360824742268,,412.0,6,"Road,Curb,White Cane,Car,Fence,Motorcycle",Expert,0.5166666666666667,0.9186440677966102
P11,2,video-7-segment-2,Ground Truth,0.6,1.0,,352.0,8,"Vegetation,Road,Accent Paving,Sidewalk,Car,White Cane,Wall,Pole",Expert,0.2166666666666666,0.6745762711864407
P11,3,video-4-segment-4,GPT4V,0.9,0.8679245283018867,,244.0,6,"Person,Road,Person with a disability,Railing,Road Divider,Curb",Expert,0.5166666666666667,0.9186440677966102
P11,4,video-4-segment-4,GPV-1,0.2,0.6376811594202899,,68.0,6,"Person,Paratransit vehicle,Lamp Post,White Cane,Yard Waste,Gutter",Expert,-0.1833333333333333,0.3491525423728814
P11,5,video-16-segment-3,GPT4V@Shadow,0.1,0.5238095238095238,0.5225225225225225,87.0,7,"Pole,Traffic Signals,Road Shoulder,Gate,Pedestrian Crossing,Railing,Closed Sidewalk",Expert,-0.2833333333333333,0.2677966101694915
P11,6,video-1-segment-5,GPV-1,0.1,0.6792452830188678,,128.0,8,"Roadside Parking,Gutter,Sidewalk,Building,Puddle,Pole,Barrier Post,White Cane",Expert,-0.2833333333333333,0.2677966101694915
P11,7,video-4-segment-3,Ground Truth,0.9,1.0,,219.0,5,"Slopped Curb,Tactile Paving,Person with a disability,Vegetation,Motorcycle",Expert,0.5166666666666667,0.9186440677966102
P11,8,video-3-segment-2,GPT4V@Shadow,0.2,0.6451612903225806,0.6476190476190476,171.0,6,"Vegetation,Person with a disability,Person,Table,Puddle,Curb",Expert,-0.1833333333333333,0.3491525423728814
P11,9,video-6-segment-2,BLIP,0.3,0.6569343065693432,,137.0,8,"Car,Railing,Road,Wall,Barrier Post,Closed Sidewalk,Stairs,Accent Paving",Expert,-0.0833333333333333,0.4305084745762711
P11,10,video-11-segment-1,GPT4V,0.6,0.8403361344537815,,184.0,7,"Road,Uncontrolled Crossing,Turnstile,Bridge,Trash bins,Person,Bus",Expert,0.2166666666666666,0.6745762711864407
P11,11,video-4-segment-1,GPT4V,0.6,0.7272727272727273,,296.0,8,"Bus Stop,Gutter,Mail box,Bus,White Cane,Curb,Fence,Bench",Expert,0.2166666666666666,0.6745762711864407
P11,12,video-14-segment-1,GPV-1@Shadow,0.2,0.84375,0.8456375838926175,96.0,6,"Tree,Lamp Post,Railing,Stairs,Vegetation,Car",Expert,-0.1833333333333333,0.3491525423728814
P11,13,video-1-segment-4,GPV-1@Shadow,0.1,0.7304347826086957,0.7328244274809159,152.0,6,"Person with a disability,Pole,Bicycle,Trash bins,Maintenance Vehicle,Vegetation",Expert,-0.2833333333333333,0.2677966101694915
P11,14,video-14-segment-4,BLIP,0.2,0.6464646464646465,,130.0,8,"Slopped Curb,Road,Car,Guide dog,Person with a disability,Fence,Building,Vegetation",Expert,-0.1833333333333333,0.3491525423728814
P11,15,video-4-segment-1,Random,0.2,0.4909090909090909,,63.0,8,"Railing,Bench,Person,White Cane,Gate,Closed Sidewalk,Bus,Snow",Expert,-0.1833333333333333,0.3491525423728814
P11,16,video-3-segment-3,BLIP@Shadow,0.2,0.8947368421052632,0.8976377952755905,110.0,6,"Car,Curb,Road,White Cane,Vegetation,Snow",Expert,-0.1833333333333333,0.3491525423728814
P11,17,video-2-segment-1,GPV-1,0.1,0.1538461538461538,,70.0,6,"Barrier Stump,Traffic Signals,Crosswalk,Sign Post,Table,Push button",Expert,-0.2833333333333333,0.2677966101694915
P11,18,video-15-segment-3,Random,0.3,0.5858585858585859,,101.0,5,"Curb,Fence,Car,Wall,Trash on roads",Expert,-0.0833333333333333,0.4305084745762711
P11,19,video-11-segment-1,GPV-1@Shadow,0.2,0.7480916030534351,0.7462686567164178,74.0,7,"Trash bins,Bus,Accent Paving,Pole,Mail box,Counter,Motorcycle",Expert,-0.1833333333333333,0.3491525423728814
P11,20,video-13-segment-2,BLIP@Shadow,0.3,0.7578947368421053,0.7572815533980582,120.0,8,"Building,Pole,Road Divider,Slopped Curb,Hose,Flush Door,Car,Motorcycle",Expert,-0.0833333333333333,0.4305084745762711
P11,21,video-7-segment-2,BLIP@Shadow,0.6,0.7862068965517242,0.7837837837837839,148.0,8,"White Cane,Sign,Road,Accent Paving,Closed Sidewalk,Railing,Tactile Paving,Pole",Expert,0.2166666666666666,0.6745762711864407
P11,22,video-12-segment-4,Ground Truth,1.0,1.0,,187.0,8,"Pole,Building,Pedestrian Crossing,Maintenance Vehicle,Car,Mail box,Sign Post,Traffic Signals",Expert,0.6166666666666667,1.0
P11,23,video-14-segment-4,Random,0.1,0.46875,,85.0,6,"Person with a disability,Elevator,Person,Bench,Retaining Wall,Road Divider",Expert,-0.2833333333333333,0.2677966101694915
P11,24,video-4-segment-3,GPT4V@Shadow,0.3,0.8,0.8,64.0,6,"Tactile Paving,Vegetation,Push button,Person,Water Pipes,Motorcycle",Expert,-0.0833333333333333,0.4305084745762711
P12,1,video-2-segment-1,GPV-1@Shadow,0.2,0.6896551724137931,0.6883116883116883,269.0,9,"Pillar,Tactile Paving,Bicycle,Pole,Elevator,Dog,Person,Sidewalk,Tree",Expert,-0.4124999999999999,0.1627118644067796
P12,2,video-12-segment-4,GPV-1@Shadow,0.8,0.896551724137931,0.896551724137931,209.0,5,"Person,Building,Sidewalk,Person with a disability,Car",Expert,0.1875000000000001,0.6508474576271187
P12,3,video-11-segment-1,Random,0.0,0.4666666666666667,,99.0,8,"Road,White Cane,Bus Stop,Roadside Parking,Counter,Chair,Person,Bus",Expert,-0.6124999999999999,0.0
P12,4,video-3-segment-2,GPV-1@Shadow,0.4,0.6956521739130435,0.6966292134831461,319.0,6,"Vegetation,Puddle,Car,Mail box,Snow,Person with a disability",Expert,-0.2124999999999999,0.3254237288135593
P12,5,video-6-segment-2,GPT4V@Shadow,0.4,0.6041666666666666,0.6037735849056605,127.0,7,"Raised Entryway,White Cane,Person with a disability,Building,Driveway(flat),Train Platform,Stairs",Expert,-0.2124999999999999,0.3254237288135593
P12,6,video-1-segment-5,GPV-1,0.8,0.7387387387387387,,112.0,6,"Curb,Bicycle,Car,Barrier Post,Raised Entryway,Road Divider",Expert,0.1875000000000001,0.6508474576271187
P12,7,video-13-segment-2,GPT4V,0.9,0.8910891089108911,,76.0,7,"Slopped Curb,Person,Person with a disability,Traffic Signals,Escalator,Water Pipes,Car",Expert,0.2875000000000001,0.7322033898305086
P12,8,video-16-segment-3,GPT4V,1.0,0.6837606837606837,,143.0,9,"Bicycle,Gate,Sign,Roadside Parking,Bus,Wet surface,Person,Closed Sidewalk,Building",Expert,0.3875,0.8135593220338984
P12,9,video-3-segment-3,GPT4V@Shadow,0.8,0.7560975609756097,0.7575757575757575,122.0,7,"Stairs,Curb,Trash on roads,Car,Uncontrolled Crossing,Push button,Person with a disability",Expert,0.1875000000000001,0.6508474576271187
P12,10,video-4-segment-3,BLIP,0.8,0.900763358778626,,114.0,6,"Fence,Person,Curb,Sidewalk,Turnstile,Maintenance Vehicle",Expert,0.1875000000000001,0.6508474576271187
P12,11,video-11-segment-1,BLIP@Shadow,0.4,0.7771428571428571,0.7777777777777778,367.0,8,"Push button,Gutter,Building,Curb,Snow,Road Divider,Person,Trash bins",Expert,-0.2124999999999999,0.3254237288135593
P12,12,video-14-segment-1,GPV-1,0.7,0.7236842105263157,,187.0,8,"Vegetation,Person with a disability,Building,Stairs,Barrier Stump,Chair,Railing,Car",Expert,0.0875,0.5694915254237288
P12,13,video-14-segment-4,BLIP@Shadow,0.6,0.5918367346938775,0.5925925925925926,109.0,8,"Slopped Curb,White Cane,Building,Elevator,Trash bins,Barrier Post,Person,Bridge",Expert,-0.0124999999999999,0.488135593220339
P12,14,video-12-segment-4,Random,0.0,0.5217391304347826,,45.0,8,"Sign,Parallel Parking Spot,Car,Mail box,Road Divider,Push button,Person,Road",Expert,-0.6124999999999999,0.0
P12,15,video-4-segment-4,BLIP@Shadow,0.5,0.4444444444444445,0.4444444444444445,113.0,8,"Bus Stop,Railing,Sign,Bus,Barrier Post,Accent Paving,Sidewalk,White Cane",Expert,-0.1124999999999999,0.4067796610169492
P12,16,video-15-segment-3,Ground Truth,0.9,1.0,,110.0,8,"Car,Person with a disability,Puddle,Accent Paving,Water leakage,Fountain,Person,Building",Expert,0.2875000000000001,0.7322033898305086
P12,17,video-4-segment-1,GPT4V@Shadow,0.9,0.8301886792452831,0.8363636363636363,78.0,7,"Railing,Person,Bus Stop,Paratransit vehicle,Barrier Post,Road Shoulder,Bus",Expert,0.2875000000000001,0.7322033898305086
